cluster_id,latitude,longitude,urban_rural,live_births,u5_deaths,u5mr,survey_year,quality_flag
1,6.90227,8.097115,R,47.181512000000005,5.055162,107.1428571428571,2013,sparse
2,7.854454,7.876807,R,29.494320000000002,5.204880000000001,217.3729706936538,2013,sparse
3,7.781454,7.940457,R,27.759359999999997,2.31328,233.3333333333333,2013,sparse
4,7.176902,9.197081,R,68.6805,4.5787,121.21212121212122,2013,complete
5,7.148612,9.16421,R,64.75366500000001,4.46577,98.85057471264358,2013,complete
6,7.49703,8.82081,R,44.99396999999999,3.999464,88.8888888888889,2013,sparse
7,7.445235,9.004712,R,18.44199,3.073665,200.00000000000006,2013,sparse
8,7.245967,8.672722,R,52.62711999999999,6.07236,121.72893772893778,2013,complete
9,7.33442,8.976706,U,14.219344,1.777418,129.4642857142857,2013,sparse
10,7.296585,8.20877,R,48.92991,2.87823,78.34101382488467,2013,sparse
11,7.187582,9.677511,R,57.042480000000005,5.9419249999999995,130.98495212038296,2013,complete
12,7.293197,9.682045,R,68.45206099999999,6.6243929999999995,105.1893408134642,2013,complete
13,7.72715,8.55256,U,10.736415000000001,0.0,0.0,2013,sparse
14,6.955776,8.307408,R,49.79335699999999,2.620703,52.631578947368475,2013,sparse
15,7.119258,7.626355,R,16.649808,1.040613,62.5,2013,sparse
16,6.84829,8.434496,U,33.769725,4.052367,126.0,2013,sparse
17,7.178323,7.813354,R,23.742522,0.0,0.0,2013,sparse
18,7.122212,7.79639,R,10.780696,0.0,0.0,2013,sparse
19,7.10258,8.099183,R,9.584025,0.0,0.0,2013,sparse
20,7.481109,7.98704,R,31.715519999999994,4.228736,137.49999999999994,2013,sparse
21,7.191263,8.146332,U,3.576001,0.0,0.0,2013,sparse
22,7.782101,9.538207,R,97.919988,12.500423999999999,129.89921612542,2013,complete
23,7.731045,9.621146,R,113.714931,10.337721,108.662381389654,2013,complete
24,6.714298,9.075205,R,22.505472,1.8754560000000002,93.33333333333339,2013,sparse
25,8.632711,6.802451,R,7.3576310000000005,0.639794,133.33333333333331,2013,sparse
26,8.482544,6.946514,U,14.1638,0.70819,50.00000000000004,2013,sparse
27,9.05551,7.378751,R,3.847984,0.0,0.0,2013,sparse
28,9.024736,7.422396,R,7.503373,0.517474,68.96551724137923,2013,sparse
29,9.07485,7.394607,U,6.545688,0.0,0.0,2013,sparse
30,9.096179,7.414277,U,2.818044,0.0,0.0,2013,sparse
31,9.082032,7.418711,U,6.042402000000001,0.335689,55.55555555555558,2013,sparse
32,9.060277,7.399262,U,8.134182000000001,0.0,0.0,2013,sparse
33,9.061271,7.443314,U,2.876148,0.0,0.0,2013,sparse
34,9.071747,7.47703,U,1.9433469999999997,0.0,0.0,2013,sparse
35,9.082368,7.501654,U,2.763312,0.0,0.0,2013,sparse
36,9.098192,7.527573,U,12.706186999999998,0.409877,32.258064516129004,2013,sparse
37,9.044939,7.494066,U,3.382536,0.0,0.0,2013,sparse
38,9.075202,7.327502,U,10.196145,1.132905,111.11111111111116,2013,sparse
39,8.974457,7.374716,U,17.565794,2.066564,131.22171945701356,2013,sparse
40,9.159592,7.348256,U,15.130008,0.630417,41.66666666666663,2013,sparse
41,9.162514,6.995731,R,19.088496000000003,2.27244,179.29292929292927,2013,sparse
42,9.067543,7.154071,R,12.710996999999997,0.325923,41.66666666666663,2013,sparse
43,8.946452,7.064911,R,19.65039999999999,1.3552,73.10344827586212,2013,sparse
44,8.933239,7.091917,U,10.457320000000003,0.522866,50.00000000000004,2013,sparse
45,8.959734,7.077051,U,2.63785,0.0,0.0,2013,sparse
46,8.607537,7.178458,R,9.063127000000001,1.182147,167.31366459627327,2013,sparse
47,8.599753,6.847795,R,12.718752000000002,1.0041120000000001,109.77443609022552,2013,sparse
48,7.581107,6.188577,R,12.49307,0.0,0.0,2013,sparse
49,7.514677,6.484442,R,8.46166,0.0,0.0,2013,sparse
50,7.479214,7.602561,R,49.9632,1.42752,37.03703703703698,2013,sparse
51,7.412503,7.7566,R,9.604861,1.5165570000000002,194.7368421052632,2013,sparse
52,7.565668,7.62176,U,13.658299999999999,0.0,0.0,2013,sparse
