cluster_id,latitude,longitude,urban_rural,live_births,u5_deaths,u5mr,survey_year,quality_flag
856,5.811532,7.835992,U,11.619439999999997,0.580972,55.55555555555558,2018,sparse
857,5.838265,7.853524,U,8.989776,0.499432,66.66666666666666,2018,sparse
858,0.0,0.0,U,28.987451999999998,3.220828,131.97913197913192,2018,sparse
859,5.956383,7.552265,U,22.638680000000004,1.46056,76.92307692307698,2018,sparse
860,6.766768,8.192742,R,38.226611000000005,0.0,0.0,2018,sparse
861,6.524213,8.332703,R,24.303465000000003,2.160308,141.3210445468509,2018,sparse
862,6.224563,7.971626,R,33.33056700000001,3.5458050000000005,109.04731092756825,2018,sparse
863,6.128476,7.976706,R,10.503822000000003,0.500182,47.619047619047564,2018,sparse
864,6.075751,8.061875,R,9.420762000000002,0.724674,76.92307692307688,2018,sparse
865,6.062038,8.174757,R,7.246739999999998,0.0,0.0,2018,sparse
866,6.95819,7.465244,U,8.938842,0.0,0.0,2018,sparse
867,0.0,0.0,U,26.142227999999996,1.452346,58.82352941176472,2018,sparse
868,6.9744,7.356245,U,6.7194270000000005,0.0,0.0,2018,sparse
869,6.916613,7.501136,U,17.26398,0.0,0.0,2018,sparse
870,6.84262,7.487284,U,20.377152,1.273572,76.92307692307688,2018,sparse
871,6.834398,7.621835,U,7.808211,1.735158,288.88888888888886,2018,sparse
872,6.643284,7.384047,U,10.0077,1.33436,138.46153846153842,2018,sparse
873,6.657099,7.419604,U,15.430689999999998,0.0,0.0,2018,sparse
874,6.873696,7.409113,U,30.710556,1.706142,55.55555555555558,2018,sparse
875,6.818423,7.444889,U,6.239604000000001,1.039934,166.66666666666663,2018,sparse
876,6.806779,7.153747,U,11.716782000000002,1.065162,95.69377990430617,2018,sparse
877,6.440647,7.180462,U,13.093678999999998,0.689141,52.631578947368475,2018,sparse
878,6.424984,7.42336,U,21.659008,0.0,0.0,2018,sparse
879,6.487179,7.59422,U,22.407899999999994,1.120395,55.55555555555558,2018,sparse
880,6.539643,7.515594,U,29.435840000000002,0.86576,32.258064516129004,2018,sparse
881,6.501384,7.510007,U,12.37527,0.0,0.0,2018,sparse
882,6.166772,7.678539,U,12.319033,0.0,0.0,2018,sparse
883,6.427672,7.523139,U,1.424165,0.0,0.0,2018,sparse
884,6.45985,7.489581,U,3.25524,0.0,0.0,2018,sparse
885,6.430839,7.475873,U,15.381,0.8545,90.90909090909093,2018,sparse
886,6.421491,7.491156,U,13.199700000000004,0.0,0.0,2018,sparse
887,6.374606,7.542992,U,4.834592,0.604324,125.0,2018,sparse
888,6.275555,7.537492,U,19.130112,3.5868960000000003,187.5,2018,sparse
889,6.102746,7.553299,U,19.524009999999997,0.887455,45.45454545454541,2018,sparse
890,6.166146,7.346759,U,32.493252000000005,2.953932,90.90909090909093,2018,sparse
891,7.04619,7.42854,R,16.177356,0.898742,76.92307692307688,2018,sparse
892,6.952333,7.341289,R,7.509564000000002,1.251594,200.00000000000006,2018,sparse
893,6.730414,7.429967,R,5.908230999999999,0.844033,142.85714285714292,2018,sparse
894,6.759878,6.964791,R,13.9809,2.79618,199.99999999999994,2018,sparse
895,6.343829,7.171421,R,13.66101,0.0,0.0,2018,sparse
896,6.643402,7.296399,R,13.527540000000002,1.50306,123.01587301587303,2018,sparse
897,6.251426,7.377186,R,1.274332,0.637166,500.0,2018,sparse
898,6.331892,7.675157,R,7.89344,0.49334,76.92307692307688,2018,sparse
899,5.943093,7.667037,R,11.131827,1.590261,164.77702191987908,2018,sparse
900,6.176418,7.46695,R,2.682054,0.0,0.0,2018,sparse
901,6.232923,7.44351,R,4.0230809999999995,0.0,0.0,2018,sparse
902,5.889168,7.096658,U,33.918431999999996,4.2398039999999995,131.57894736842113,2018,sparse
