lga_name,year,facilities_per_10k,avg_distance_km,u5mr_mean,coverage_5km,towers_per_10k,population_density,pop_pct_60min
Oji-River,2013,-1.1953155,-0.26479432,-0.7760065,-0.28418154,-0.29540232,-0.02680023,0.0
Oyun,2013,-0.44463134,0.1145888,-1.2038091,-0.17199099,-0.09165862,-0.052281562,0.0
Ogbia,2013,0.70093066,0.29381922,0.69338393,-0.044177882,0.073707856,0.010486395,0.0
Asari-Toru,2013,1.1553749,-0.6900925,-0.75329137,0.23241623,0.32474816,0.14997743,0.0
Uyo,2013,0.5214802,-0.7821084,-0.76209134,-0.25748843,-0.4255243,0.10613655,0.0
Ikono,2013,0.81664854,-0.74617296,-0.16733961,-0.29377246,0.03051471,0.09810376,0.0
Baruten,2013,-0.7338691,0.7409973,-0.65243214,0.37102106,0.027694836,-0.1186566,0.0
Lagelu,2013,-1.0792283,-0.07234359,-1.2233125,-0.28448927,-0.34854066,0.070590556,0.0
Idah,2013,-1.161634,-0.686563,-0.7446524,-0.26774788,0.07342833,0.07541699,0.0
Machina,2013,-0.35114688,0.39793622,0.46245837,0.20911661,0.33537307,-0.14622495,0.0
Ibaji,2013,-1.091436,-0.6277969,1.2910432,0.09385469,0.34986454,-0.11935098,0.0
Municipal Area Council,2013,1.0967139,0.11423266,-0.9413941,0.1819584,-0.34142807,0.1134956,0.0
Kaiama,2013,-0.7863595,0.70062,-0.3519794,0.33063552,0.009010677,-0.13589297,0.0
Bakura,2013,0.91195554,0.530027,1.1370956,0.30850923,0.061473496,-0.079554915,0.0
Nguru,2013,0.70941675,0.54042417,-0.9560172,0.10169461,-0.122290425,-0.021298023,0.0
Gummi,2013,0.47083056,0.7116133,1.1122522,0.30278143,0.316377,-0.1206417,0.0
Ajingi,2013,0.9245982,-0.6644793,-0.81328887,0.04608531,0.23325004,-0.0084336,0.0
Port-Harcourt,2013,1.0505729,-0.50733006,0.7831705,-0.26542693,-0.36435634,0.14011762,0.0
Augie,2013,-0.3244454,0.2695658,0.89777267,0.13625813,0.20956261,-0.07833314,0.0
Kebbe,2013,0.66092175,0.72718436,1.0036217,0.30419967,0.15073468,-0.11359461,0.0
Surulere,2013,0.040845342,-0.059782457,-0.6455343,-0.13284492,0.049547005,-0.0680005,0.0
Ringim,2013,0.9400811,0.4736733,0.90474665,0.029484028,-0.010146462,-0.04251364,0.0
Emuoha,2013,1.1154373,0.56703955,-0.5275553,0.16534294,-0.31647357,0.035221074,0.0
Isi-Uzo,2013,-0.43948403,-0.41553238,-0.9459189,0.05881882,0.3286041,-0.06811149,0.0
Yenegoa,2013,0.056584176,0.06502944,-1.1904086,0.10805732,-0.30313322,0.09428991,0.0
Ilorin East,2013,-0.109104015,-0.10179809,0.09495553,0.12774068,-0.32254368,0.09507547,0.0
Alkaleri,2013,0.66569316,0.7113226,0.86877275,0.3171576,0.20635957,-0.12695576,0.0
Omumma,2013,0.10877338,-0.7505605,-1.2289217,-0.28922468,0.35355252,0.060400613,0.0
Birnin Kudu,2013,0.97016627,-0.35925207,1.0525444,0.09825419,0.021702422,-0.03003391,0.0
Takum,2013,-1.1127645,-0.18001772,0.9520303,0.27824858,0.35160503,-0.11496359,0.0
Esan South-East,2013,0.14194328,0.4078991,-0.8567037,0.17197141,0.30764946,-0.07454139,0.0
Ifedayo,2013,-1.0616075,-0.5961344,0.65898603,-0.24919924,0.3749951,0.025440838,0.0
Ori Ire,2013,-0.23517686,-0.06465271,-0.6378789,0.28391224,-0.28722572,-0.15259275,0.0
Ifelodun,2013,-0.81877595,0.18225294,-0.524488,0.26046142,-0.15717241,-0.14461072,0.0
Maradun,2013,0.43862525,0.26444536,1.0918058,0.2791796,0.19886284,-0.12742113,0.0
Aninri,2013,0.5423435,0.3805005,0.4128104,-0.15081438,0.24176337,0.10633011,0.0
Abakaliki,2013,-1.1365787,-0.50183696,0.980505,-0.24457613,-0.23284982,0.042876363,0.0
Pategi,2013,-0.6014205,-0.46196765,0.9764279,0.28938228,0.042041223,-0.1376264,0.0
Biriniwa,2013,0.65014714,0.32210147,1.061713,0.06362065,0.2201464,-0.12086446,0.0
Ussa,2013,-1.1263334,-0.1488182,0.37572414,-0.107009396,0.3991261,-0.09070341,0.0
Silame,2013,-0.26113734,0.19614987,1.1700755,0.09493902,0.34341958,-0.030129751,0.0
Takai,2013,0.84906775,-0.62375987,0.75253356,-0.1695425,-0.016670957,0.023585519,0.0
Bwari,2013,0.64165705,-0.41566014,-0.75047374,0.13077214,-0.38693333,0.09623295,0.0
Edu,2013,-0.2137888,-0.060149692,0.044747163,0.2117835,0.067698255,-0.12627752,0.0
Jema'A,2013,0.40087342,0.60702914,-0.082979284,0.19217233,-0.16738787,0.00052242214,0.0
Gumel,2013,0.75185263,-0.6557004,1.0357021,-0.2908356,-0.08890342,0.062431652,0.0
Binji,2013,0.2007584,0.7403534,-0.34480643,0.27867174,0.3543257,-0.048940398,0.0
Kware,2013,0.015350329,-0.40629947,0.9188819,0.09193534,0.26208878,-0.025184104,0.0
Bunza,2013,-0.021571463,-0.06438644,1.2560502,0.12441021,-0.13501036,-0.0968649,0.0
Mopa-Muro,2013,-1.1403328,0.31650147,-0.731147,0.29791504,-0.081675954,-0.13889845,0.0
Sokoto North,2013,1.0229033,-0.74323034,0.58395356,-0.25362322,-0.20361839,0.13984828,0.0
Musawa,2013,-0.59297574,-0.5059465,1.0909756,-0.25618196,0.2098599,-0.044487193,0.0
Ethiope West,2013,0.79296863,0.013985705,-0.9507811,0.17197566,-0.32380134,0.09213193,0.0
Ishielu,2013,-0.7832406,-0.34342602,1.3306223,-0.2457578,-0.12820312,-0.042046573,0.0
Sakaba,2013,-1.0106049,0.6113832,0.19903779,0.10287488,0.25709456,-0.13254078,0.0
Kudan,2013,0.08766835,-0.26949215,-0.07479222,-0.27360022,-0.014608836,0.055206228,0.0
Kachia,2013,-0.014322138,-0.049711168,1.0463456,0.2711418,-0.07895801,-0.12467325,0.0
Sabon Birni,2013,0.6048809,0.33346194,0.9447798,0.20782776,0.30689883,-0.122100756,0.0
Uzo-Uwani,2013,-0.5660263,0.7974566,0.69371384,0.10071307,0.3485822,-0.04104374,0.0
Jaba,2013,0.03866921,-0.5832677,1.2878064,-0.10255944,0.082537286,0.02091121,0.0
Ibesikpo Asutan,2013,0.47821203,-0.6628939,1.1613685,-0.26333827,-0.34772098,0.10120286,0.0
Sokoto South,2013,0.77933884,-0.64382297,-0.035527118,-0.25114805,-0.20656435,0.15876198,0.0
Yabo,2013,0.86777425,0.69218767,1.268772,0.24611792,-0.09115274,-0.02156008,0.0
Damboa,2013,1.0811647,0.5005146,-0.8233106,0.35775852,0.32652178,-0.18347332,0.0
Matazu,2013,-0.7437731,0.16128105,0.9522969,-0.25481018,0.36547482,-0.04042425,0.0
Sandamu,2013,-0.009777416,-0.7225079,0.2449433,-0.28310767,0.060488384,0.018638674,0.0
Mashi,2013,-0.034435257,0.032989882,1.1101002,-0.13793863,0.13590796,-0.045539334,0.0
Dan Musa,2013,-0.6792041,0.083646685,0.23176473,0.22634205,0.34306756,-0.086911805,0.0
Kura,2013,0.7124366,0.030866517,0.73548234,-0.27161437,-0.29088876,0.11421169,0.0
Lere,2013,0.50330895,-0.4125594,0.98732865,0.1767121,-0.18469258,-0.096684165,0.0
Zango,2013,0.47126886,-0.26442486,0.20070668,-0.2979093,0.18247469,-0.03262536,0.0
Wurno,2013,0.86468065,0.6851689,-0.13685487,0.110086225,0.36726782,0.0267569,0.0
Gudu,2013,0.4030667,0.7397021,0.98823416,0.2910625,0.28951696,-0.11788815,0.0
Gwiwa,2013,0.6845439,0.08059127,1.0473757,-0.3004568,0.1468478,0.0024127734,0.0
Birnin Kebbi,2013,0.026316306,-0.6483321,0.3116442,0.03921501,-0.23239593,-0.02598113,0.0
Suru,2013,-0.5481306,0.5084468,0.9721011,0.1375438,0.058543954,-0.10497413,0.0
Numan,2013,-0.941274,-0.1130979,0.3417911,0.1287485,-0.24961336,-0.09932884,0.0
Biu,2013,0.80956066,0.7113808,-0.82445025,0.354352,0.34329647,-0.13979986,0.0
Kaduna South,2013,0.8931854,-0.6893077,-1.251423,-0.26845345,-0.3271573,0.16745864,0.0
Dikwa,2013,0.9153493,0.69120383,0.80413747,0.3166965,0.32027286,-0.13799432,0.0
Zaria,2013,0.89476454,-0.18389119,-0.051954884,-0.059785888,-0.1907583,0.15358783,0.0
Kalgo,2013,-0.634277,0.39409706,0.8871478,0.011006198,-0.19299583,-0.054648716,0.0
Yankwashi,2013,0.76381123,-0.7037903,1.0561954,-0.28990108,0.23117474,0.0025452,0.0
Kaura,2013,0.6736088,-0.27868646,-0.9467097,-0.013245481,0.12948489,0.08870608,0.0
Lamurde,2013,-0.20786406,-0.23930494,1.0610175,0.094626114,-0.13549496,-0.10669143,0.0
Monguno,2013,-0.027845412,0.6942191,-1.0306729,0.29858986,0.2883379,-0.16800994,0.0
Enugu East,2013,-0.32109714,-0.56436086,0.42673844,0.06306263,-0.38165146,0.13088928,0.0
Ngala,2013,1.1709281,0.71747786,-0.80658114,0.38900208,0.36174905,-0.03990708,0.0
Gubio,2013,1.1618586,0.7217711,-0.8006901,0.36424324,0.34635234,-0.1381635,0.0
Yagba East,2013,-0.356141,0.5012125,-0.77838254,0.2659313,0.24454431,-0.08511123,0.0
Chibok,2013,-0.56518143,0.19102362,-0.838805,0.2105209,0.29682425,-0.16222174,0.0
Tureta,2013,-0.05803953,0.7348874,0.9791911,0.31001195,0.036333818,-0.12128999,0.0
Gashaka,2013,-0.48106846,-0.3073916,0.32120892,0.30575332,0.027274232,-0.13053033,0.0
Bauchi,2013,0.054219462,0.41586542,-0.04910496,0.20186318,-0.3341374,-0.042615213,0.0
Hawul,2013,0.18941927,-0.19953923,-0.7521873,0.20143932,0.31944788,-0.16644262,0.0
Uruan,2013,0.97368944,0.45597082,0.8745277,0.23035981,0.004587661,0.14863534,0.0
Mayo-Belwa,2013,-0.9853701,-0.512285,0.3870711,0.058849525,-0.11821343,-0.1706551,0.0
Mubi South,2013,-0.7507638,-0.3139046,0.61914843,-0.25411636,-0.0015585779,-0.032513905,0.0
Etsako West,2013,-0.008028152,0.39900762,-0.6683414,0.18168645,-0.31680265,-0.009161879,0.0
Fune,2013,0.88556254,0.5135311,0.5601268,0.29259604,0.08205239,-0.14689083,0.0
Mobbar,2013,1.1412041,0.7956484,-1.14278,0.36955068,0.33200058,-0.14764914,0.0
Potiskum,2013,0.9673529,0.50620776,0.38752332,0.048402064,-0.1981179,0.1199542,0.0
Gwoza,2013,1.0587832,0.6951819,0.09545044,0.35367653,0.36954737,-0.1370013,0.0
Guzamala,2013,1.0714283,0.54686457,-0.8285799,0.3589896,0.3294595,-0.18946324,0.0
Maiha,2013,-0.7533753,0.75441754,1.2038547,0.18547729,0.2254902,-0.123334475,0.0
Gulani,2013,-0.22765692,0.52150977,0.6907018,0.25317085,0.30294093,-0.14175601,0.0
Zing,2013,-0.73405206,-0.25753966,-0.028938262,-0.10303845,0.04755348,-0.07385993,0.0
Orelope,2013,0.6343242,-0.20573089,-0.63935965,0.31862605,0.09487737,-0.094216265,0.0
Nsit Ibom,2013,0.66265136,-0.1553068,-0.33234876,-0.23102537,-0.20040914,0.107367374,0.0
Fufore,2013,-0.6689132,-0.097702034,-0.025316032,0.20404491,0.23040436,-0.14468934,0.0
Mkpat Enin,2013,0.7872064,-0.5907032,-0.35980305,-0.27172393,0.04069604,0.08099767,0.0
Owan West,2013,-0.50476295,0.45284626,-0.87045246,0.24132967,-0.16181679,-0.043059893,0.0
Kaga,2013,0.8819896,0.15701042,-0.8441526,0.33002272,-0.13297942,-0.16311564,0.0
Karim Lamido,2013,-1.0760225,-0.39618894,-0.032996286,0.2750495,0.3546354,-0.13797045,0.0
Kukawa,2013,1.1343119,0.7251779,-0.98274744,0.37270477,0.31268647,-0.16817948,0.0
Gombi,2013,-0.5415283,0.623476,-0.038221706,0.22834608,-0.008979909,-0.13659272,0.0
Guyuk,2013,-0.2275938,-0.17444986,1.0066345,-0.030395858,0.24190794,-0.007773263,0.0
Tudun Wada,2013,1.0301381,0.51615804,0.7015255,0.25442317,0.20626207,0.0034244757,0.0
Saki West,2013,-0.21265207,0.72130245,0.20153528,0.35220698,-0.1408803,-0.009336959,0.0
Toungo,2013,-1.1078466,0.5519723,0.3526174,0.33518043,0.18796875,-0.121150315,0.0
Abua/Odual,2013,1.1137391,0.69858634,0.21021564,0.1182523,0.36577445,0.1628345,0.0
Bungudu,2013,-0.06050318,0.4334231,0.94349825,0.09371523,-0.16109382,-0.07422543,0.0
Shani,2013,-0.23920754,0.14277981,-0.28674003,0.08237505,0.31326154,-0.13170454,0.0
Shagari,2013,0.56405866,0.66367227,0.5303531,0.2933555,-0.030019535,-0.07288312,0.0
Yunusari,2013,0.025019621,0.38970482,0.36822033,0.2822685,0.32321382,-0.1341128,0.0
Ganye,2013,-0.58767676,-0.035378877,0.38141713,0.21423177,0.0012505876,-0.121426225,0.0
Jada,2013,-0.6397423,-0.26574877,-0.966738,0.24354896,0.12257802,-0.17269905,0.0
Bali,2013,-0.7208212,-0.288975,0.8640843,0.335798,0.15368217,-0.11787324,0.0
Shelleng,2013,-0.26445907,0.24910802,0.42346293,0.12042176,0.15495746,-0.09191481,0.0
Okitipupa,2013,0.53772354,0.54853415,-0.4728543,0.18798055,-0.20830315,0.07711446,0.0
Bayo,2013,-0.3650072,0.17420837,-0.8560854,0.124298155,0.30696455,-0.14612608,0.0
Ikot Abasi,2013,0.47863817,0.15026218,-0.14393598,-0.2652126,-0.20555793,0.079300635,0.0
Maiduguri,2013,1.0815848,-0.6873459,-0.5006478,-0.25919282,-0.106124066,0.14340493,0.0
Gujba,2013,0.91861534,0.73921764,0.5811292,0.30946532,0.318671,-0.1385256,0.0
Esan North-East,2013,0.24146041,-0.09101008,-1.1805376,0.14323777,-0.0031821006,0.062034957,0.0
Tafawa-Balewa,2013,-0.027453456,0.18592918,-0.27458984,0.11189651,0.14311238,-0.101321116,0.0
Nangere,2013,-0.9957455,0.28871575,0.3460125,-0.1123998,0.03681165,-0.1168986,0.0
Ika,2013,0.25897536,-0.632508,-0.08687131,-0.26485315,0.3733222,0.09218025,0.0
Dambam,2013,0.17518,-0.2890631,0.4645781,0.057753216,0.11520264,-0.09005122,0.0
Ganjuwa,2013,-0.0062504318,0.7061594,0.85497344,0.23615375,0.12158257,-0.13290846,0.0
Nganzai,2013,1.089615,0.16258931,-1.2101579,0.38588622,0.31863427,-0.17329097,0.0
Ahoada West,2013,1.1000674,0.13468076,-0.35044014,0.071390234,0.0296087,0.14469706,0.0
Song,2013,-0.5501535,-0.6858366,0.9073029,0.26227266,-0.09366458,-0.15600552,0.0
Oshimili North,2013,0.63289386,-0.1754605,-0.283168,0.06080981,-0.3601928,-0.019080238,0.0
Gokana,2013,1.1047049,-0.6984894,-0.3495148,0.07354324,0.025073858,0.1635199,0.0
Bukkuyum,2013,0.8164627,0.71652776,1.2820421,0.30474874,0.31695563,-0.112300165,0.0
Damaturu,2013,-0.068620175,0.68615484,0.3526102,0.28857473,-0.35680625,-0.13733025,0.0
Geidam,2013,0.6987878,0.7397396,0.3785597,0.32044917,0.34948018,-0.12344419,0.0
Tarmuwa,2013,0.41319793,0.68077624,0.3858815,0.30714458,0.31679094,-0.14271852,0.0
Madagali,2013,-0.2573696,0.5608582,0.45416182,0.099589035,0.33543107,-0.046270397,0.0
Michika,2013,-0.9499434,-0.23979644,0.35875845,-0.26596943,0.089317426,-0.06432418,0.0
Mubi North,2013,-0.73499244,0.18352243,0.39923567,-0.0058844476,-0.1702504,-0.0371439,0.0
Owan East,2013,-0.020147778,0.14139776,-1.1936141,0.22086151,0.14153272,-0.1073053,0.0
Hong,2013,-0.8035566,0.42817473,-0.28625035,0.21487124,-0.2484796,-0.15091266,0.0
Nassarawa,2013,1.0230682,-0.63715786,0.71965146,-0.25770903,-0.23446159,0.14392085,0.0
Sabuwa,2013,-0.22196564,0.35375473,0.61909753,0.19581668,0.33027345,-0.022213245,0.0
Ohaozara,2013,-0.5541162,-0.49123308,1.3009387,-0.109366596,0.37049702,0.11844117,0.0
Kaura Namoda,2013,0.42527443,-0.5150906,1.1880537,0.10671241,0.07673861,0.042587616,0.0
Dutsi,2013,-0.4839357,-0.5702874,0.941602,-0.26204768,0.16089271,-0.0018580002,0.0
Kabo,2013,0.5717475,-0.38501093,0.75354093,-0.30280706,0.0808869,0.07123094,0.0
Dandume,2013,-0.5502064,0.13692234,0.2266384,-0.25170225,0.33140507,-0.020162484,0.0
Dawakin Tofa,2013,0.12405414,-0.2569288,0.20649631,-0.26355922,0.15528096,0.12503064,0.0
Gezawa,2013,1.079189,-0.2560412,0.7365428,-0.06587373,-0.05621136,0.137976,0.0
Bodinga,2013,0.77566046,-0.6433569,1.1802946,0.2154017,-0.14297934,-0.0016206064,0.0
Zurmi,2013,0.68812627,0.16117565,1.254328,0.21581988,0.3185834,-0.09122904,0.0
Warawa,2013,1.0405583,-0.34266493,0.7938315,-0.29457852,-0.006723354,0.08195721,0.0
Tangaza,2013,-0.049965262,-0.046653714,1.2561918,0.25391886,0.30763,-0.12913148,0.0
Maigatari,2013,1.0407957,0.7198301,1.1809757,0.09227914,0.21838006,0.001097519,0.0
Danja,2013,-0.61517406,-0.5124175,-1.2260082,-0.27734077,0.2521031,-0.05642237,0.0
Fagge,2013,0.09473257,-0.6201581,0.71324056,-0.24342012,-0.34303242,0.16264349,0.0
Jibia,2013,0.0060827904,-0.06316477,-1.0000435,0.05423552,0.21347636,-0.07968915,0.0
Eleme,2013,1.0334011,-0.63277894,-0.16039293,-0.28220457,-0.34435493,0.11596967,0.0
