lga_uid,lga_name,state_name,state_lga,area_sq_km,lga_lat,lga_lon,u5mr_mean,u5mr_median,live_births_sum,u5_deaths_sum,facilities_count,facilities_per_10k,avg_distance_km,urban_prop,population,population_density,access_score,towers_count,tower_density_per_km2,avg_dist_to_tower_km,towers_per_10k_pop,coverage_5km,year
0,Eastern Obolo,Akwa Ibom,Akwa Ibom__Eastern Obolo,160.15208032119878,4.526270881626862,7.6884340907912785,67.71956131197247,57.692307692307686,0.0,0.0,13,1.37178553715956,1.8388604022835373,0.0263157894736842,94767.0,591.7313082036563,0.6602067183462532,0,0.0,,0.0,529.2398153920353,2013
1,Ekeremor,Bayelsa,Bayelsa__Ekeremor,1861.4388971361184,4.989076666666667,5.797759,69.05033500778181,33.18135764944276,56.813486,3.682889,43,1.0118694641327572,5.808972982150667,0.3333333333333333,424956.0,228.2943590863004,0.9276485788113696,0,0.0,,0.0,168.62989624933746,2013
2,Degema,Rivers,Rivers__Degema,673.0128999592093,4.553232762523531,6.910362720454788,62.177317652385845,63.888888888888886,0.0,0.0,5,0.1255272143000602,3.761792070508018,0.4444444444444444,398320.0,591.8460107141212,0.9076227390180878,0,0.0,,0.0,68.32987375637309,2013
3,Andoni,Rivers,Rivers__Andoni,345.9580223571362,4.478648,7.496496,47.61904761904762,47.61904761904762,6.769559999999999,0.32236,35,1.0203873390338971,2.6463938572018457,0.0,343007.0,991.4699987673944,0.7984496124031008,0,0.0,,0.0,692.8831314497241,2013
4,Akpabuyo,Cross River,Cross River__Akpabuyo,795.3854139006329,4.8835305,8.447941499999999,93.07359307359307,93.07359307359307,13.574507999999994,1.276839,76,1.8711653420785688,1.1149447414101483,0.0,406164.0,510.65055116882223,0.4786821705426357,0,0.0,,0.0,952.1577368283986,2013
5,Oron,Akwa Ibom,Akwa Ibom__Oron,148.54938661486722,4.82671,8.226735,120.0,120.0,32.95365,3.954438,30,1.5488587492449315,1.9484126524856396,0.0,193691.0,1303.882866256244,0.6375968992248062,0,0.0,,0.0,1375.0638973270322,2013
6,Bakassi,Cross River,Cross River__Bakassi,273.57283666641825,4.79097674926715,8.497276288962158,50.31702914137747,58.333333333333314,0.0,0.0,31,6.621667805878332,2.735476136149971,0.2307692307692307,46816.0,171.12810091261073,0.3475452196382429,0,0.0,,0.0,833.4257429375418,2013
7,Calabar South,Cross River,Cross River__Calabar South,156.00912186504135,4.923228,8.328329,0.0,0.0,12.877292999999998,0.0,84,2.9363134584529127,1.0377809427756115,1.0,286073.0,1833.694059552959,0.3165374677002584,0,0.0,,0.0,4458.717349922862,2013
8,Udung Uko,Akwa Ibom,Akwa Ibom__Udung Uko,66.9620520181888,4.747834976656295,8.258667646330428,67.71956131197247,57.692307692307686,0.0,0.0,12,1.4213125821696335,1.4513049637507165,0.0263157894736842,84429.0,1260.8484575273571,0.6020671834625323,0,0.0,,0.0,1365.4097804318894,2013
9,Southern Ijaw,Bayelsa,Bayelsa__Southern Ijaw,2731.1476423951285,4.70763075,5.9590575,109.15853473556474,98.99888765294769,42.517316,4.112152,69,1.3766739557229732,1.937690017136101,0.0,501208.0,183.51552739948423,0.6660206718346253,0,0.0,,0.0,189.48590243041448,2013
10,Iwajowa,Oyo,Oyo__Iwajowa,2592.188361549758,8.011341550674782,2.9966544160815265,49.803210782756615,46.51162790697674,0.0,0.0,31,1.9057455153504728,5.642965819427959,0.7647058823529411,162666.0,62.75238420665888,0.7674418604651163,0,0.0,,0.0,89.2265861716591,2013
11,Ibarapa North,Oyo,Oyo__Ibarapa North,1291.4747077554568,7.6324375,3.1680025,153.57142857142856,153.57142857142856,49.864767,8.946276,30,1.9086519191495048,3.4384895682686825,0.5,157179.0,121.70505473790676,0.6983204134366925,0,0.0,,0.0,186.04914812526812,2013
12,Okrika,Rivers,Rivers__Okrika,615.9758596444597,4.485347,7.146321,117.75362318840584,117.75362318840584,83.43447799999998,10.569767,34,0.9705329082018594,5.340547727879908,0.0,350323.0,568.728456667451,0.927002583979328,0,0.0,,0.0,440.04683036112687,2013
13,Imeko Afon,Ogun,Ogun__Imeko Afon,1946.3322987223237,7.456658,2.851144,38.46153846153847,38.46153846153847,25.496328,0.980628,40,3.0770887663181865,1.074984350368419,1.0,129993.0,66.78869794501912,0.3049095607235141,0,0.0,,0.0,154.79533478493107,2013
14,Ibeno,Akwa Ibom,Akwa Ibom__Ibeno,270.41234869433225,4.561267357097504,8.044812296691582,67.71956131197247,57.692307692307686,0.0,0.0,23,1.906767366091044,3.634579046442087,0.0263157894736842,120623.0,446.0706050682227,0.7131782945736433,0,0.0,,0.0,438.89535067299954,2013
15,Nembe,Bayelsa,Bayelsa__Nembe,847.4680050476644,4.534514,6.392616,80.0,80.0,6.69665,0.535732,26,1.2755477496394123,4.944637251048191,1.0,203834.0,240.52117458822025,0.8798449612403101,0,0.0,,0.0,218.87398351727197,2013
16,Ilaje,Ondo,Ondo__Ilaje,1379.745661763266,6.095559,4.8849235,90.9900284900285,80.12820512820514,137.26330000000002,14.301664,73,1.6585857943262734,2.7396268685881937,0.0,440134.0,318.99647318877913,0.7099483204134367,0,0.0,,0.0,360.3526917703872,2013
17,Brass,Bayelsa,Bayelsa__Brass,1330.369529178026,4.316705,6.1448735,85.77461389961388,42.08494208494208,33.957876,1.28656,39,1.3594344752582923,3.120358871856195,0.25,286884.0,215.64234125029336,0.787467700258398,0,0.0,,0.0,186.56774617464163,2013
